Date,Time,TimeStamp,Temp_unit,Temp
2/6/2023,4:27:00,PM,C,-6.5
2/6/2023,5:27:00,PM,C,-5.5
2/6/2023,6:27:00,PM,C,-5.5
2/6/2023,7:27:00,PM,C,-5.5
2/6/2023,8:27:00,PM,C,-5.5
2/6/2023,9:27:00,PM,C,-6
2/6/2023,10:27:00,PM,C,-6.5
2/6/2023,11:27:00,PM,C,-7
2/7/2023,12:27:00,AM,C,-8
2/7/2023,1:27:00,AM,C,-8.5
2/7/2023,2:27:00,AM,C,-9
2/7/2023,3:27:00,AM,C,-9
2/7/2023,4:27:00,AM,C,-9.5
2/7/2023,5:27:00,AM,C,-9.5
2/7/2023,6:27:00,AM,C,-9.5
2/7/2023,7:27:00,AM,C,-9.5
2/7/2023,8:27:00,AM,C,-9.5
2/7/2023,9:27:00,AM,C,-9.5
2/7/2023,10:27:00,AM,C,-9.5
2/7/2023,11:27:00,AM,C,-9
2/7/2023,12:27:00,PM,C,-8.5
2/7/2023,1:27:00,PM,C,-2.5
2/7/2023,2:27:00,PM,C,-4.5
2/7/2023,3:27:00,PM,C,-5.5
2/7/2023,4:27:00,PM,C,-5.5
2/7/2023,5:27:00,PM,C,-5.5
2/7/2023,6:27:00,PM,C,-5.5
2/7/2023,7:27:00,PM,C,-5.5
2/7/2023,8:27:00,PM,C,-5.5
2/7/2023,9:27:00,PM,C,-6
2/7/2023,10:27:00,PM,C,-6
2/7/2023,11:27:00,PM,C,-6.5
2/8/2023,12:27:00,AM,C,-7
2/8/2023,1:27:00,AM,C,-7.5
2/8/2023,2:27:00,AM,C,-8
2/8/2023,3:27:00,AM,C,-8.5
2/8/2023,4:27:00,AM,C,-9
2/8/2023,5:27:00,AM,C,-9.5
2/8/2023,6:27:00,AM,C,-10
2/8/2023,7:27:00,AM,C,-10.5
2/8/2023,8:27:00,AM,C,-10.5
2/8/2023,9:27:00,AM,C,-11
2/8/2023,10:27:00,AM,C,-11
2/8/2023,11:27:00,AM,C,-7.5
2/8/2023,12:27:00,PM,C,-7.5
2/8/2023,1:27:00,PM,C,-8.5
2/8/2023,2:27:00,PM,C,-8.5
2/8/2023,3:27:00,PM,C,-8
2/8/2023,4:27:00,PM,C,-7.5
2/8/2023,5:27:00,PM,C,-6.5
2/8/2023,6:27:00,PM,C,-6.5
2/8/2023,7:27:00,PM,C,-6.5
2/8/2023,8:27:00,PM,C,-7.5
2/8/2023,9:27:00,PM,C,-8
2/8/2023,10:27:00,PM,C,-8.5
2/8/2023,11:27:00,PM,C,-9
2/9/2023,12:27:00,AM,C,-9.5
2/9/2023,1:27:00,AM,C,-9.5
2/9/2023,2:27:00,AM,C,-10
2/9/2023,3:27:00,AM,C,-10.5
2/9/2023,4:27:00,AM,C,-10.5
2/9/2023,5:27:00,AM,C,-10.5
2/9/2023,6:27:00,AM,C,-11
2/9/2023,7:27:00,AM,C,-11
2/9/2023,8:27:00,AM,C,-11
2/9/2023,9:27:00,AM,C,-11
2/9/2023,10:27:00,AM,C,-11.5
2/9/2023,11:27:00,AM,C,-11.5
2/9/2023,12:27:00,PM,C,-8
2/9/2023,1:27:00,PM,C,-8.5
2/9/2023,2:27:00,PM,C,-9.5
2/9/2023,3:27:00,PM,C,-10
2/9/2023,4:27:00,PM,C,-10
2/9/2023,5:27:00,PM,C,-10
2/9/2023,6:27:00,PM,C,-10
2/9/2023,7:27:00,PM,C,-10
2/9/2023,8:27:00,PM,C,-10.5
2/9/2023,9:27:00,PM,C,-11
2/9/2023,10:27:00,PM,C,-11
2/9/2023,11:27:00,PM,C,-11.5
2/10/2023,12:27:00,AM,C,-11.5
2/10/2023,1:27:00,AM,C,-12
2/10/2023,2:27:00,AM,C,-12
2/10/2023,3:27:00,AM,C,-12
2/10/2023,4:27:00,AM,C,-12
2/10/2023,5:27:00,AM,C,-12
2/10/2023,6:27:00,AM,C,-12
2/10/2023,7:27:00,AM,C,-12.5
2/10/2023,8:27:00,AM,C,-13
2/10/2023,9:27:00,AM,C,-14
2/10/2023,10:27:00,AM,C,-14.5
2/10/2023,11:27:00,AM,C,-14.5
2/10/2023,12:27:00,PM,C,-15
2/10/2023,1:27:00,PM,C,-15
2/10/2023,2:27:00,PM,C,-14.5
2/10/2023,3:27:00,PM,C,-14
2/10/2023,4:27:00,PM,C,-13
2/10/2023,5:27:00,PM,C,-12
2/10/2023,6:27:00,PM,C,-11
2/10/2023,7:27:00,PM,C,-11
2/10/2023,8:27:00,PM,C,-11
2/10/2023,9:27:00,PM,C,-11.5
2/10/2023,10:27:00,PM,C,-11.5
2/10/2023,11:27:00,PM,C,-12
2/11/2023,12:27:00,AM,C,-12.5
2/11/2023,1:27:00,AM,C,-12.5
2/11/2023,2:27:00,AM,C,-12
2/11/2023,3:27:00,AM,C,-12
2/11/2023,4:27:00,AM,C,-12
2/11/2023,5:27:00,AM,C,-12.5
2/11/2023,6:27:00,AM,C,-12.5
2/11/2023,7:27:00,AM,C,-12.5
2/11/2023,8:27:00,AM,C,-13
2/11/2023,9:27:00,AM,C,-13
2/11/2023,10:27:00,AM,C,-13
2/11/2023,11:27:00,AM,C,-13
2/11/2023,12:27:00,PM,C,-10
2/11/2023,1:27:00,PM,C,-9.5
2/11/2023,2:27:00,PM,C,-10
2/11/2023,3:27:00,PM,C,-9.5
2/11/2023,4:27:00,PM,C,-8.5
2/11/2023,5:27:00,PM,C,-7.5
2/11/2023,6:27:00,PM,C,-7
2/11/2023,7:27:00,PM,C,-6.5
2/11/2023,8:27:00,PM,C,-6.5
2/11/2023,9:27:00,PM,C,-6.5
2/11/2023,10:27:00,PM,C,-6.5
2/11/2023,11:27:00,PM,C,-6.5
2/12/2023,12:27:00,AM,C,-6.5
2/12/2023,1:27:00,AM,C,-6.5
2/12/2023,2:27:00,AM,C,-7
2/12/2023,3:27:00,AM,C,-7
2/12/2023,4:27:00,AM,C,-7
2/12/2023,5:27:00,AM,C,-7.5
2/12/2023,6:27:00,AM,C,-7.5
2/12/2023,7:27:00,AM,C,-7.5
2/12/2023,8:27:00,AM,C,-7.5
2/12/2023,9:27:00,AM,C,-7.5
2/12/2023,10:27:00,AM,C,-7.5
2/12/2023,11:27:00,AM,C,-5.5
2/12/2023,12:27:00,PM,C,-5
2/12/2023,1:27:00,PM,C,-6
2/12/2023,2:27:00,PM,C,-6.5
2/12/2023,3:27:00,PM,C,-6.5
2/12/2023,4:27:00,PM,C,-6.5
2/12/2023,5:27:00,PM,C,-6.5
2/12/2023,6:27:00,PM,C,-6.5
2/12/2023,7:27:00,PM,C,-6.5
2/12/2023,8:27:00,PM,C,-7
2/12/2023,9:27:00,PM,C,-7.5
2/12/2023,10:27:00,PM,C,-7.5
2/12/2023,11:27:00,PM,C,-8
2/13/2023,12:27:00,AM,C,-8
2/13/2023,1:27:00,AM,C,-8
2/13/2023,2:27:00,AM,C,-8
2/13/2023,3:27:00,AM,C,-8.5
2/13/2023,4:27:00,AM,C,-8.5
