Sample,ID,Total_dried,Beaker,Beaker_mass,DM_sample_mass,Post_Dry_wbeaker,Post_Ash_wbeaker,DM,Ash,Fibre_bag_mass,Fiber_sample_mass,Fibre_bag_sample_mass,Post_NDF_wbag,NDF_AI,Post_ADF_wbag,ADF_AI,Post_ADL_wbag,ADL_AI,CP_sample_mass,"CP_Tray,Loc",CP_AI,C_AI,NDF_F,ADF_F,ADL_F,CP_F,C_F
E14_23-02-13,F12,86.4,154,29.2194,4.8662,33.8236,,0.946159221,,0.5492,0.4996,1.0501,0.9695,0.841273018,0.7816,0.465172138,0.5845,0.070656525,0.0976,C2,5.2436,51.8,88.91452939,49.1642556,7.467720408,5.541984779,54.74765649
E15_23-01-31,F13,72.2,156,28.9209,4.3742,32.9612,,0.923666042,,0.5654,0.6936,1.2497,1.1241,0.805507497,0.8964,0.4772203,0.6167,0.073961938,0.0929,C4,7.2775,51.2,87.20765522,51.66589203,8.007432813,7.878929906,55.43128976
E3C_23-02-18,F14,46,157,29.067,5.7788,34.3908,,0.92126393,,0.565,0.6504,1.2048,1.0463,0.74000615,0.8371,0.418357934,0.6128,0.073493235,0.097,C5,8.7571,51,80.32509749,45.4113007,7.977435404,9.505527909,55.35872873
E1A_23-02-13,F15,52.9,160,28.7401,5.5958,33.9289,,0.927266879,,0.5547,0.4426,0.9944,0.8767,0.727519205,0.7424,0.424084953,,-1.253276096,0.0963,C3,9.4446,52.3,78.45844831,45.73494021,,10.18541718,56.40231653
E13_23-02-18,F16,45,167,28.9394,5.6244,34.206,,0.936384325,,0.5561,0.5496,1.1039,0.9882,0.786208151,0.8147,0.470524017,0.6003,0.080422125,0.0926,C7,7.6723,52,83.96212218,50.24902753,8.588580885,8.193537409,55.53275358
E15_23-02-08,F17,63,12,23.217,3.7129,26.6276,,0.918581163,,0.5367,0.509,1.0366,0.9091,0.731630648,0.7573,0.433398821,0.5821,0.089194499,0.0915,E3,10.154,51.3,79.6479046,47.18133124,9.710029186,11.05400416,55.8469976
E4D_23-02-19,F18,49.8,5,23.0229,5.5406,28.1893,,0.932462188,,0.568,0.6754,1.2405,1.0349,0.691294048,0.8203,0.373556411,0.6151,0.069736452,0.1026,C9,7.8594,51.2,74.13641612,40.06129318,7.478743198,8.428652764,54.90839269
E3C_23-02-13,F19,99.6,159,30.1568,5.05,34.8992,,0.939089109,,0.5653,0.4798,1.0436,1.0319,0.972488537, ,,0.5984,0.068987078,0.0927,C8,4.8964,52.2,103.5565771,,7.346169527,5.213988698,55.58577935
E2B_23-02-09,F2,64.6,14,22.3296,4.9648,26.8977,,0.920097486,,0.5832,0.4921,1.0669,0.9519,0.74923796,0.7924,0.425116846,0.6184,0.071530177,0.1123,E2,10.102,48.9,81.43028004,46.20345697,7.774195437,10.97927138,53.14654233
E3C_23-02-19,F20,43.3,10,23.2247,5.4064,28.2234,,0.924589376,,0.535,0.6724,1.1989,1.046,0.759964307,0.8241,0.429952409,0.586,0.07584771,0.0982,E4,8.6597,50.7,82.19479123,46.50198463,8.203394037,9.365995575,54.83515314
E2B_23-02-18,F21,106.2,147,30.3869,4.648,34.7738,,0.943825301,,0.5635,0.525,1.0887,0.995,0.821904762,0.8164,0.481714286,0.6028,0.074857143,0.0939,D3,5.5869,52.7,87.08229805,51.03850099,7.931249858,5.919421733,55.83660444
E4D_23-02-18,F22,59.3,130,29.2259,6.6926,35.5044,,0.938125691,,0.5487,0.7472,1.294,1.12,0.764587794,0.889,0.455433619,0.6129,0.085920771,0.1005,D4,7.9961,51.8,81.5016369,48.54718543,9.158769629,8.523484727,55.21648164
E15_23-02-10,F23,58.9,2,21.9445,4.6066,26.1475,,0.912386576,,0.5443,0.7046,1.2334,1.0758,0.754328697,0.8464,0.428753903,0.5958,0.073091116,0.0944,E5,9.7181,50.3,82.67643531,46.99257029,8.010981032,10.65129656,55.13014038
E15_23-01-29,F24,55,169,28.8626,5.1203,33.7761,,0.959611741,,0.5559,0.595,1.1607,1.0294,0.795798319,0.8335,0.466554622,0.6078,0.087226891,0.094,D1,7.9736,53.8,82.92919781,48.61910309,9.0898107,8.30919387,56.0643411
E13_23-02-13,F25,43,161,28.9919,5.3181,33.9661,,0.935334048,,0.5451,0.6763,1.2194,1.0511,0.748188674,0.8439,0.441815762,0.5991,0.079846222,0.1014,D5,9.1422,51.3,79.99160037,47.23614662,8.536653004,9.774261956,54.84671505
E15_23-02-15,F26,58.3,4,23.143,4.6134,27.4763,,0.939285559,,0.5489,0.5036,1.0524,0.919,0.734908658,0.76,0.41918189,0.5849,0.071485306,0.1116,C10,8.7319,50.2,78.24123881,44.62773713,7.610604153,9.296320924,53.44487573
E1A_23-01-30,F27,31.3,151,28.7565,5.2446,33.7182,,0.946058803,,0.5631,0.445,1.0111,0.9117,0.783370787,0.7625,0.448089888,0.601,0.085168539,0.1125,D6,9.0873,51,82.80360415,47.3638516,9.002457249,9.605428297,53.90785416
