Date,Time,TimeStamp,Temp_unit,Temp
2022-02-19,12:10:00,PM,C,-1
2022-02-19,1:10:00,PM,C,-2
2022-02-19,2:10:00,PM,C,-2.5
2022-02-19,3:10:00,PM,C,-2.5
2022-02-19,4:10:00,PM,C,-2.5
2022-02-19,5:10:00,PM,C,-3
2022-02-19,6:10:00,PM,C,-3
2022-02-19,7:10:00,PM,C,-3
2022-02-19,8:10:00,PM,C,-3.5
2022-02-19,9:10:00,PM,C,-3.5
2022-02-19,10:10:00,PM,C,-4
2022-02-19,11:10:00,PM,C,-4
2022-02-20,12:10:00,AM,C,-4.5
2022-02-20,1:10:00,AM,C,-5
2022-02-20,2:10:00,AM,C,-5.5
2022-02-20,3:10:00,AM,C,-5.5
2022-02-20,4:10:00,AM,C,-6
2022-02-20,5:10:00,AM,C,-6
2022-02-20,6:10:00,AM,C,-6.5
2022-02-20,7:10:00,AM,C,-6.5
2022-02-20,8:10:00,AM,C,-7
2022-02-20,9:10:00,AM,C,-7
2022-02-20,10:10:00,AM,C,-7.5
2022-02-20,11:10:00,AM,C,-4
2022-02-20,12:10:00,PM,C,-5
2022-02-20,1:10:00,PM,C,-6
2022-02-20,2:10:00,PM,C,-6.5
2022-02-20,3:10:00,PM,C,-6.5
2022-02-20,4:10:00,PM,C,-6.5
2022-02-20,5:10:00,PM,C,-6.5
2022-02-20,6:10:00,PM,C,-6
2022-02-20,7:10:00,PM,C,-6.5
2022-02-20,8:10:00,PM,C,-7
2022-02-20,9:10:00,PM,C,-8
2022-02-20,10:10:00,PM,C,-9
2022-02-20,11:10:00,PM,C,-10
2022-02-21,12:10:00,AM,C,-10.5
2022-02-21,1:10:00,AM,C,-11.5
2022-02-21,2:10:00,AM,C,-12
2022-02-21,3:10:00,AM,C,-12.5
2022-02-21,4:10:00,AM,C,-12.5
2022-02-21,5:10:00,AM,C,-13
2022-02-21,6:10:00,AM,C,-13
2022-02-21,7:10:00,AM,C,-13.5
2022-02-21,8:10:00,AM,C,-14
2022-02-21,9:10:00,AM,C,-14
2022-02-21,10:10:00,AM,C,-14.5
2022-02-21,11:10:00,AM,C,-11
2022-02-21,12:10:00,PM,C,-9
2022-02-21,1:10:00,PM,C,-11.5
2022-02-21,2:10:00,PM,C,-12
2022-02-21,3:10:00,PM,C,-11.5
2022-02-21,4:10:00,PM,C,-11
2022-02-21,5:10:00,PM,C,-11
2022-02-21,6:10:00,PM,C,-10.5
2022-02-21,7:10:00,PM,C,-10.5
2022-02-21,8:10:00,PM,C,-10.5
2022-02-21,9:10:00,PM,C,-10.5
2022-02-21,10:10:00,PM,C,-10.5
2022-02-21,11:10:00,PM,C,-10.5
2022-02-22,12:10:00,AM,C,-10.5
2022-02-22,1:10:00,AM,C,-10.5
2022-02-22,2:10:00,AM,C,-10.5
2022-02-22,3:10:00,AM,C,-10.5
2022-02-22,4:10:00,AM,C,-10.5
2022-02-22,5:10:00,AM,C,-10.5
2022-02-22,6:10:00,AM,C,-10.5
2022-02-22,7:10:00,AM,C,-10.5
2022-02-22,8:10:00,AM,C,-10.5
2022-02-22,9:10:00,AM,C,-10.5
2022-02-22,10:10:00,AM,C,-11
